Semester1,Semester2,Semester3,Semester4,Semester5,Semester6,Semester7,Semester8,Semester9,Semester10,Semester11,Semester12
hum100,csc103,hum103,mth231,csc339,csc350,csc455,bio310,NULL,NULL,NULL,NULL
phy121,eee241,csc241,csc291,csc336,csc321,csc356,mgt131,NULL,NULL,NULL,NULL
hum110,mth104,csc211,csc322,csc462,csc475,csc483,csc499,NULL,NULL,NULL,NULL
csc101,csc110,mth105,csc371,csc301,csc303,csc498,hum434,NULL,NULL,NULL,NULL
NULL,csc102,bio231,hum111,mth242,csc354,csc441,NULL,NULL,NULL,NULL,NULL
NULL,hum102,NULL,mth262,NULL,csc312,eee440,NULL,NULL,NULL,NULL,NULL
