Semester1,Semester2,Semester3,Semester4,Semester5,Semester6,Semester7,Semester8,Semester9,Semester10,Semester11,Semester12
csc101,bio231,csc211,csc322,csc110,csc336,csc303,cse483,NULL,NULL,NULL,NULL
eee121,csc102,csc241,csc371,csc339,csc356,csc461,cse499,NULL,NULL,NULL,NULL
hum100,csc103,cse291,csc304,csc462,cse302,cse350,hum434,NULL,NULL,NULL,NULL
hum110,hum102,eee241,mgt101,cse303,cse333,cse455,mgt403,NULL,NULL,NULL,NULL
NULL,hum103,hum111,mth262,csc305,cse494,cse498,NULL,NULL,NULL,NULL,NULL
NULL,mth104,NULL,NULL,mth231,NULL,env230,NULL,NULL,NULL,NULL,NULL
